OBJECTID,Shape,Number,Permanent_Identifier,Shape_Length,Shape_Area,AreaSqKm
64,Polygon,66,1001,24405.28306,1244364,1.244363997
45,Polygon,47,1005,4278.969467,172997.33,0.172997335
55,Polygon,57,1006,2418.530335,145965.23,0.14596523
25,Polygon,26,1015,3126.759292,117376.17,0.117376173
63,Polygon,65,1017,2452.877266,174638.2,0.1746382
41,Polygon,43,1018,11573.71488,1281496.74,1.28149674
11,Polygon,11,1019,10274.38479,65532.38333,0.065532383
12,Polygon,12,1020,6164.630874,39319.43,0.03931943
13,Polygon,13,1021,12329.26175,78638.86,0.07863886
14,Polygon,14,1022,2054.876958,13106.47667,0.013106477