OBJECTID,SHAPE,NHD_Plus,SourceFeatureClass,GridCode,AreaSqKm,VPUID,SHAPE_Length,SHAPE_Area,Permanent_Identifier
37256,Polygon,23001000016210.00,NHDPlusBurnLineEvent,24368,0.0888,1027,0.020178,0.000009,158505643
37769,Polygon,23001000100306.00,NHDPlusSink,93690,0.0769,1027,0.014938,0.000008,23001000100306.00
38294,Polygon,23001000047660.00,NHDPlusBurnLineEvent,46814,0.0117,1027,0.006067,0.000001,158570668
39323,Polygon,23001000037208.00,NHDPlusBurnLineEvent,74160,0.3048,1027,0.034591,0.000032,52548386
67788,Polygon,23001000068675.00,NHDPlusBurnLineEvent,1934,0.0496,1027,0.014248,0.000005,158570665
69084,Polygon,23001000016213.00,NHDPlusBurnLineEvent,24391,0.4756,1027,0.041579,0.00005,158570658
69763,Polygon,23001000005593.00,NHDPlusBurnLineEvent,16625,0.1067,1027,0.017254,0.000011,158570672
73176,Polygon,23001000016209.00,NHDPlusBurnLineEvent,24403,0.3351,1027,0.037475,0.000035,158505635
73391,Polygon,23001000005503.00,NHDPlusBurnLineEvent,70513,0.1546,1027,0.019768,0.000016,52548078
73603,Polygon,23001000026804.00,NHDPlusBurnLineEvent,69135,0.2093,1027,0.027838,0.000022,158505676
74022,Polygon,23001000079066.00,NHDPlusBurnLineEvent,77041,0.7854,1027,0.060139,0.000082,52548326
74358,Polygon,23001000047548.00,NHDPlusBurnLineEvent,46919,2.5406,1027,0.120539,0.000265,158570620
74669,Polygon,23001000005502.00,NHDPlusBurnLineEvent,61956,0.4548,1027,0.037072,0.000047,23001000005502.00
75094,Polygon,23001000079064.00,NHDPlusBurnLineEvent,9497,0.1021,1027,0.019656,0.000011,158570675
75263,Polygon,23001000117873.00,NHDPlusSink,104217,0.0771,1027,0.01576,0.000008,23001000117873.00
75794,Polygon,23001000016092.00,NHDPlusBurnLineEvent,24307,0.1872,1027,0.02861,0.000019,158505747
76542,Polygon,23001000058208.00,NHDPlusBurnLineEvent,79095,0.0194,1027,0.007412,0.000002,158570673
77011,Polygon,23001000068673.00,NHDPlusBurnLineEvent,77761,0.2892,1027,0.031653,0.00003,158505633
77164,Polygon,23001000047547.00,NHDPlusBurnLineEvent,46915,0.1022,1027,0.018629,0.000011,52548076
77445,Polygon,23001000068773.00,NHDPlusBurnLineEvent,83691,0.0388,1027,0.010775,0.000004,158570663
77972,Polygon,23001000058211.00,NHDPlusBurnLineEvent,79098,0.0386,1027,0.009952,0.000004,158570666
78068,Polygon,23001000016093.00,NHDPlusBurnLineEvent,24311,0.8013,1027,0.061133,0.000083,158570619
78515,Polygon,23001000047657.00,NHDPlusBurnLineEvent,73445,0.0656,1027,0.014275,0.000007,158570671
78551,Polygon,23001000047656.00,NHDPlusBurnLineEvent,64969,0.0709,1027,0.016622,0.000007,158570674
78570,Polygon,23001000026713.00,NHDPlusBurnLineEvent,63567,0.4728,1027,0.040061,0.000049,52548140
78789,Polygon,23001000068676.00,NHDPlusBurnLineEvent,1979,0.3197,1027,0.029186,0.000033,52548202
78958,Polygon,23001000016090.00,NHDPlusBurnLineEvent,75624,0.9933,1027,0.06464,0.000103,52548424
79419,Polygon,23001000037309.00,NHDPlusBurnLineEvent,68471,0.1643,1027,0.022553,0.000017,158570664
79425,Polygon,23001000058213.00,NHDPlusBurnLineEvent,54626,0.0616,1027,0.015566,0.000006,158570662
79451,Polygon,23001000016212.00,NHDPlusBurnLineEvent,62741,0.071,1027,0.015511,0.000007,158570667
79757,Polygon,23001000005501.00,NHDPlusBurnLineEvent,16713,0.7023,1027,0.067584,0.000049,158505751
79758,Polygon,23001000026809.00,NHDPlusBurnLineEvent,31936,0.6205,1027,0.048625,0.000065,158505678
79951,Polygon,23001000079065.00,NHDPlusBurnLineEvent,82606,0.1941,1027,0.026066,0.00002,158570661
80088,Polygon,23001000005504.00,NHDPlusBurnLineEvent,16717,0.8913,1027,0.05332,0.000093,158570621
80365,Polygon,23001000005596.00,NHDPlusBurnLineEvent,16637,0.0047,1027,0.004173,0.000026,158570660
80474,Polygon,23001000016214.00,NHDPlusBurnLineEvent,62744,0.1323,1027,0.019958,0.000014,158570659
80664,Polygon,23001000058209.00,NHDPlusBurnLineEvent,54610,0.7132,1027,0.04721,0.000074,52548264
81306,Polygon,23001000016314.00,NHDPlusBurnLineEvent,75611,0.3864,1027,0.041237,0.00004,52548320
116217,Polygon,23001000058207.00,NHDPlusBurnLineEvent,54608,0.0617,1027,0.014647,0.000006,52548262
117693,Polygon,23001000047661.00,NHDPlusBurnLineEvent,46817,0.0215,1027,0.009197,0.000002,52548232
120784,Polygon,23001000005594.00,NHDPlusBurnLineEvent,61966,0.1796,1027,0.022511,0.000019,158505638
80665,Polygon,23001000047769.00,NHDPlusBurnLineEvent,73482,0.2536,1027,0.027812,0.000026,158505673