OBJECTID,SHAPE,SourceFeatureClass,GridCode,VPUID,SHAPE_Length,SHAPE_Area,AreaSqKm,Permanent_Identifier
14,Polygon,NHDPlusBurnLineEvent,36119,601,1216.996665,31728.79633,0.031729,1001
4,Polygon,NHDPlusBurnLineEvent,36119,601,1006.947654,37734.55537,0.037735,1002
17,Polygon,NHDPlusBurnLineEvent,36119,601,369.328772,4841.664606,0.004842,1003
60,Polygon,NHDPlusBurnLineEvent,192026,601,1807.41669,93414.42347,0.093414,1004
66,Polygon,NHDPlusBurnLineEvent,192026,601,774.938883,16676.75861,0.016677,1005
12,Polygon,NHDPlusBurnLineEvent,207864,601,1525.782176,73537.99511,0.073538,1006
32,Polygon,NHDPlusBurnLineEvent,207864,601,1800.051657,119336.3176,0.119336,1007
38,Polygon,NHDPlusBurnLineEvent,207864,601,1115.769317,24836.70905,0.024837,1008
42,Polygon,NHDPlusBurnLineEvent,207864,601,1179.602325,32722.23001,0.032722,1009
52,Polygon,NHDPlusBurnLineEvent,207864,601,496.153737,8709.298888,0.008709,1010
56,Polygon,NHDPlusBurnLineEvent,207864,601,602.263943,13047.84671,0.013048,1011
40,Polygon,NHDPlusBurnLineEvent,207864,601,716.711008,18385.00591,0.018385,1012
68,Polygon,NHDPlusBurnLineEvent,192026,601,1475.18169,78867.69915,0.078868,1013
58,Polygon,NHDPlusBurnLineEvent,207864,601,945.985294,35288.88775,0.035289,1014
74,Polygon,NHDPlusBurnLineEvent,192026,601,716.170026,13723.11029,0.013723,1015
80,Polygon,NHDPlusBurnLineEvent,192026,601,601.383928,14865.39302,0.014865,1016
72,Polygon,NHDPlusBurnLineEvent,192026,601,717.848102,16849.39655,0.016849,1017
34,Polygon,NHDPlusBurnLineEvent,207864,601,1055.202493,58979.47814,0.058979,1018
70,Polygon,NHDPlusBurnLineEvent,192026,601,1428.737636,86234.8077,0.086235,1019
84,Polygon,NHDPlusBurnLineEvent,192026,601,1587.30031,49750.29082,0.04975,1020
82,Polygon,NHDPlusBurnLineEvent,192026,601,1985.310175,95728.45075,0.095728,1021
90,Polygon,NHDPlusBurnLineEvent,192026,601,1201.149069,30270.93598,0.030271,1022
7,Polygon,NHDPlusBurnLineEvent,192026,601,874.532327,33390.32322,0.03339,1023
92,Polygon,NHDPlusBurnLineEvent,192026,601,983.921147,27333.63173,0.027334,1024
88,Polygon,NHDPlusBurnLineEvent,192026,601,1448.372384,73805.74205,0.073806,1025